claim_id,study_id,stat_test,p_value,p_band,frequentist_result,bf10,bf_conclusion,bf_strength,favoured_side,concordance_cell,concordance_status,negative_log10_p,log10_bf10,n_prior_specifications,minimum_bf10,maximum_bf10,prior_sensitivity_span,bf_conclusion_changed,favoured_side_changed
study_41_claim_02,study_41,paired_t_test,1.219425388797962e-6,p < .001,Significant,14725.20209602652,H1,Decisive/extreme support for H1,H1,Significant + H1,Concordant,5.913844767080154,4.168061263974375,3,12442.575377229865,15876.026067036477,0.1058315229252198,FALSE,FALSE
study_47_claim_01,study_47,independent_t_test,0.02747386297158548,.01 <= p < .05,Significant,1.7962424316465486,Inconclusive,Weak/anecdotal support for H1,H1,Significant + inconclusive,Inconclusive,1.5610802721668675,0.25436495127390873,3,1.4402641964930054,2.100609977426856,0.16390325925236,FALSE,FALSE
study_47_claim_02,study_47,mixed_anova,0.0569589309954774,p >= .05,Nonsignificant,0.7616966058120109,Inconclusive,Weak/anecdotal support for H0,H0,Nonsignificant + inconclusive,Inconclusive,1.244438170128256,-0.11821797965723697,3,0.4236579626726278,1.2052870616232776,0.45407512116583093,FALSE,TRUE
study_49_claim_01,study_49,paired_t_test,0.11936204599031028,p >= .05,Nonsignificant,0.671997614246467,Inconclusive,Weak/anecdotal support for H0,H0,Nonsignificant + inconclusive,Inconclusive,0.9231337455459515,-0.17263226879354648,3,0.5094284901454541,0.8505900194736716,0.2226370530179132,FALSE,FALSE
study_49_claim_02,study_49,paired_t_test,0.3193609686229255,p >= .05,Nonsignificant,0.2998461179304834,H0,Substantial/moderate support for H0,H0,Nonsignificant + H0,Concordant,0.4957181631740554,-0.5231015695451725,3,0.2208031872482167,0.3962437609262851,0.25395709902342556,TRUE,FALSE
study_51_claim_01,study_51,independent_t_test,0.00640275145451495,.001 <= p < .01,Significant,6.1391261151198835,H1,Substantial/moderate support for H1,H1,Significant + H1,Concordant,2.193633356527809,0.7881065551164219,3,5.2454457354345845,6.621396794880843,0.10116721568536702,FALSE,FALSE
study_51_claim_02,study_51,independent_t_test,0.3459848212862602,p >= .05,Nonsignificant,0.31189945440928973,H0,Substantial/moderate support for H0,H0,Nonsignificant + H0,Concordant,0.4609429537396428,-0.5059853849326353,3,0.232589261484386,0.4050476514386639,0.24091645865105799,TRUE,FALSE
study_53_claim_01,study_53,independent_t_test,0.00115012656411969,.001 <= p < .01,Significant,21.612970835096405,H1,Strong support for H1,H1,Significant + H1,Concordant,2.9392543656686994,1.3347144674205305,3,17.466411603063165,24.766626634662313,0.15166316679300262,FALSE,FALSE
study_53_claim_02,study_53,independent_t_test,0.00563382702166837,.001 <= p < .01,Significant,5.373185840217522,H1,Substantial/moderate support for H1,H1,Significant + H1,Concordant,2.249196491515702,0.7302318615970278,3,4.217273109596863,6.420247631822599,0.18252005259206283,FALSE,FALSE
study_60_claim_01,study_60,factorial_between_anova,0.02364995293670567,.01 <= p < .05,Significant,1.463087544195719,Inconclusive,Weak/anecdotal support for H1,H1,Significant + inconclusive,Inconclusive,1.6261697191692717,0.1652703130177469,3,1.1615678069846846,2.120683535557484,0.2614312976530918,FALSE,FALSE
study_60_claim_02,study_60,factorial_between_anova,2.2266005311121752e-10,p < .001,Significant,44678887.370000735,H1,Decisive/extreme support for H1,H1,Significant + H1,Concordant,9.652357691675073,7.650102349423749,3,36184566.55418257,44678887.370000735,0.09157897473483345,FALSE,FALSE
